grad_lambda,grad_mu,lambda,measurement_time,measurement_values,measurement_xcoord,measurement_ycoord,measurement_zcoord,misfit_values,mu,simulation_values
-4.3796599397474e-08,-8.1077586556456e-07,4.9999703676621,0,4.46462,-1,-1,0,-2.2288267853554e-07,1.0000005195792,4.4646197771173
-6.2509348307711e-09,-1.7312856628588e-07,4.0001368580929,0,6.447155,-1,0,0,-1.9949611118619e-07,1.9999990912205,6.4471548005039
-8.9816855038081e-10,-1.0424117832137e-08,3.0000053638196,0,8.434803,-1,1,0,-9.7586703162733e-08,3.0000073381577,8.4348029024133
0,0,0,0,4.176264,0,-1,0,-1.4786177882087e-07,0,4.1762638521382
0,0,0,0,6.172984,0,0,0,-2.477726290806e-08,0,6.1729839752227
0,0,0,0,8.200859,0,1,0,4.4258881182202e-07,0,8.2008594425888
0,0,0,0,4.049477,1,-1,0,-8.2262971545788e-08,0,4.049476917737
0,0,0,0,6.052499,1,0,0,3.4381697400221e-07,0,6.052499343817
0,0,0,0,8.079385,1,1,0,-8.3668947326032e-09,0,8.0793849916331
