id,temperature,x,y,z
0,6.6526778366149,0.5,0.1,0
0.1,12.042887437046,0.5,0.2,0
0.2,15.126363357654,0.5,0.3,0
0.3,16.165425191226,0.5,0.4,0
0.4,15.496676803669,0.5,0.5,0
0.5,13.646386928884,0.5,0.6,0
0.6,10.891156108667,0.5,0.7,0
0.7,7.5707316687261,0.5,0.8,0
0.8,3.8681648263227,0.5,0.9,0
0,2.9958034346331,0.1,0.1,0
0.1,5.3788070388321,0.1,0.2,0
0.2,6.6127736940814,0.1,0.3,0
0.3,6.9270353609128,0.1,0.4,0
0.4,6.5171316702323,0.1,0.5,0
0.5,5.6637257616978,0.1,0.6,0
0.6,4.4708889339135,0.1,0.7,0
0.7,3.0886566620801,0.1,0.8,0
0.8,1.5707275234899,0.1,0.9,0
0,1.8820987272509,0.9,0.1,0
0.1,3.4063672359364,0.9,0.2,0
0.2,4.264936198682,0.9,0.3,0
0.3,4.5511726559228,0.9,0.4,0
0.4,4.359933772187,0.9,0.5,0
0.5,3.8422282304788,0.9,0.6,0
0.6,3.0684751887425,0.9,0.7,0
0.7,2.1352205653929,0.9,0.8,0
0.8,1.0913788878045,0.9,0.9,0
